Index,Brand,Model,Price,ProductionDate,ProductionMonth,Mileage,FuelType,EngineDis,Color,TransSystem,DriveSystem,Seats,Location,SellerInfo,CarLink
0,TOYOTA,RAV4,76.3,2021年10月,43,50070,汽油,2,黑色,手自排,前輪驅動,5,彰化縣,https://www.abccar.com.tw/dealer/228151,https://www.abccar.com.tw/Car/2242394
1,TOYOTA,RAV4,78.5,2022年03月,38,92244,油電複合,2.5,白色,CVT 無段變速,前輪驅動,5,高雄市,https://www.abccar.com.tw/dealer/228152,https://www.abccar.com.tw/Car/2241972
2,TOYOTA,RAV4,48.8,2016年05月,108,72496,汽油,2,銀色,CVT 無段變速,前輪驅動,5,桃園市,https://www.abccar.com.tw/dealer/35596,https://www.abccar.com.tw/Car/2243239
3,TOYOTA,RAV4,93.8,2023年06月,23,11493,汽油,2,白色,CVT 無段變速,前輪驅動,5,桃園市,https://www.abccar.com.tw/dealer/35596,https://www.abccar.com.tw/Car/2243238
4,TOYOTA,RAV4,46.8,2016年05月,108,76317,汽油,2,黑色,CVT 無段變速,前輪驅動,5,高雄市,https://www.abccar.com.tw/dealer/35606,https://www.abccar.com.tw/Car/2243213
5,TOYOTA,RAV4,71.8,2021年06月,47,20000,汽油,2,黑色,CVT 無段變速,前輪驅動,5,新北市,https://www.abccar.com.tw/dealer/35591,https://www.abccar.com.tw/Car/2242948
6,TOYOTA,RAV4,103.8,2025年02月,3,1998,汽油,2,白色,CVT 無段變速,前輪驅動,5,新北市,https://www.abccar.com.tw/dealer/35587,https://www.abccar.com.tw/Car/2242883
7,TOYOTA,RAV4,101.8,2025年01月,4,10,汽油,2,白色,CVT 無段變速,前輪驅動,5,台南市,https://www.abccar.com.tw/dealer/213384,https://www.abccar.com.tw/Car/2242357
8,TOYOTA,RAV4,83.9,2021年04月,49,43140,油電複合,2.5,黑色,手自排,前輪驅動,5,宜蘭縣,https://www.abccar.com.tw/dealer/35594,https://www.abccar.com.tw/Car/2241361
9,TOYOTA,RAV4,100.7,2022年02月,39,44617,油電複合,2.5,黑色,CVT 無段變速,四輪驅動,5,台中市,https://www.abccar.com.tw/dealer/238154,https://www.abccar.com.tw/Car/2239265
10,TOYOTA,RAV4,87.9,2024年01月,16,12106,汽油,2,灰色,手自排,前輪驅動,5,新北市,https://www.abccar.com.tw/dealer/228147,https://www.abccar.com.tw/Car/2236138
11,TOYOTA,RAV4,86.3,2022年04月,37,70567,油電複合,2.5,灰色,CVT 無段變速,前輪驅動,5,高雄市,https://www.abccar.com.tw/dealer/228152,https://www.abccar.com.tw/Car/2234718
12,TOYOTA,RAV4,72.7,2020年12月,53,88146,油電複合,2.5,黑色,手自排,前輪驅動,5,彰化縣,https://www.abccar.com.tw/dealer/228151,https://www.abccar.com.tw/Car/2228033
13,TOYOTA,RAV4,72.8,2021年06月,47,26040,汽油,2,藍色,手自排,前輪驅動,5,新北市,https://www.abccar.com.tw/dealer/228147,https://www.abccar.com.tw/Car/2228032
14,TOYOTA,RAV4,73.9,2020年06月,59,93997,油電複合,2.5,白色,CVT 無段變速,前輪驅動,5,新北市,https://www.abccar.com.tw/dealer/228147,https://www.abccar.com.tw/Car/2225799
15,TOYOTA,RAV4,48.8,2016年11月,102,112769,汽油,2,銀色,CVT 無段變速,前輪驅動,5,桃園市,https://www.abccar.com.tw/dealer/30487,https://www.abccar.com.tw/Car/2183685
16,TOYOTA,RAV4,48.5,2017年12月,89,60566,汽油,2,黑色,CVT 無段變速,前輪驅動,5,台中市,https://www.abccar.com.tw/dealer/86947,https://www.abccar.com.tw/Car/2157522
17,TOYOTA,RAV4,68,2020年03月,62,22213,汽油,2,黑色,CVT 無段變速,前輪驅動,5,台中市,https://www.abccar.com.tw/dealer/86947,https://www.abccar.com.tw/Car/2157197
18,TOYOTA,RAV4,25.8,2010年12月,173,91481,汽油,2.4,白色,自排,前輪驅動,5,桃園市,https://www.abccar.com.tw/dealer/35596,https://www.abccar.com.tw/Car/2242866
19,TOYOTA,RAV4,97.8,2022年04月,37,29500,油電複合,2.5,白色,手自排,前輪驅動,5,桃園市,https://www.abccar.com.tw/dealer/35596,https://www.abccar.com.tw/Car/2242859
20,TOYOTA,RAV4,57.8,2017年09月,92,27500,汽油,2,白色,CVT 無段變速,前輪驅動,5,桃園市,https://www.abccar.com.tw/dealer/35596,https://www.abccar.com.tw/Car/2242767
21,TOYOTA,RAV4,45.8,2015年03月,122,100000,汽油,2,黑色,CVT 無段變速,前輪驅動,5,台北市,https://www.abccar.com.tw/dealer/35589,https://www.abccar.com.tw/Car/2242662
22,TOYOTA,RAV4,65.8,2019年11月,66,103671,油電複合,2.5,黑色,手自排,前輪驅動,5,屏東縣,https://www.abccar.com.tw/dealer/35608,https://www.abccar.com.tw/Car/2242488
23,TOYOTA,RAV4,51.8,2017年02月,99,99546,汽油,2,白色,CVT 無段變速,前輪驅動,5,高雄市,https://www.abccar.com.tw/dealer/35606,https://www.abccar.com.tw/Car/2242046
24,TOYOTA,RAV4,108.8,2024年07月,10,7126,汽油,2,灰色,CVT 無段變速,前輪驅動,5,高雄市,https://www.abccar.com.tw/dealer/35606,https://www.abccar.com.tw/Car/2241836
25,TOYOTA,RAV4,51.8,2017年11月,90,93830,汽油,2,灰色,CVT 無段變速,前輪驅動,5,高雄市,https://www.abccar.com.tw/dealer/35606,https://www.abccar.com.tw/Car/2241835
26,TOYOTA,RAV4,58.8,2018年06月,83,95009,汽油,2,白色,CVT 無段變速,前輪驅動,5,新北市,https://www.abccar.com.tw/dealer/35587,https://www.abccar.com.tw/Car/2241676
27,TOYOTA,RAV4,42.8,2015年04月,121,94220,汽油,2,銀色,CVT 無段變速,前輪驅動,5,台中市,https://www.abccar.com.tw/dealer/35600,https://www.abccar.com.tw/Car/2241590
28,TOYOTA,RAV4,79.8,2020年09月,56,41100,油電複合,2.5,黑色,手自排,前輪驅動,5,台南市,https://www.abccar.com.tw/dealer/35592,https://www.abccar.com.tw/Car/2241359
29,TOYOTA,RAV4,67.8,2019年12月,65,97569,汽油,2.5,黑色,自排,四輪驅動,5,屏東縣,https://www.abccar.com.tw/dealer/35608,https://www.abccar.com.tw/Car/2241354
30,TOYOTA,RAV4,68.8,2019年06月,71,89932,汽油,2,灰色,CVT 無段變速,前輪驅動,5,宜蘭縣,https://www.abccar.com.tw/dealer/35594,https://www.abccar.com.tw/Car/2241070
31,TOYOTA,RAV4,43.8,2015年02月,123,97287,汽油,2,白色,CVT 無段變速,前輪驅動,5,桃園市,https://www.abccar.com.tw/dealer/35596,https://www.abccar.com.tw/Car/2240131
